"liga","fecha","mercado","casa","local","visitante","seleccion","cuota","timestamp"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Betfair","Girona","Rayo Vallecano","Girona","2,32","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Betfair","Girona","Rayo Vallecano","Rayo Vallecano","3,1","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Betfair","Girona","Rayo Vallecano","Draw","3,4","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Marathon Bet","Girona","Rayo Vallecano","Girona","2,28","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Marathon Bet","Girona","Rayo Vallecano","Rayo Vallecano","3,3","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Marathon Bet","Girona","Rayo Vallecano","Draw","3,3","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Parions Sport (FR)","Girona","Rayo Vallecano","Girona","2,15","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Parions Sport (FR)","Girona","Rayo Vallecano","Rayo Vallecano","3,1","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Parions Sport (FR)","Girona","Rayo Vallecano","Draw","3,15","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Winamax (DE)","Girona","Rayo Vallecano","Girona","2,3","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Winamax (DE)","Girona","Rayo Vallecano","Rayo Vallecano","3,2","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Winamax (DE)","Girona","Rayo Vallecano","Draw","3,2","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Betclic (FR)","Girona","Rayo Vallecano","Girona","2,22","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Betclic (FR)","Girona","Rayo Vallecano","Rayo Vallecano","3,08","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Betclic (FR)","Girona","Rayo Vallecano","Draw","3,18","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Winamax (FR)","Girona","Rayo Vallecano","Girona","2,25","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Winamax (FR)","Girona","Rayo Vallecano","Rayo Vallecano","3,1","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","Winamax (FR)","Girona","Rayo Vallecano","Draw","3,1","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","William Hill","Girona","Rayo Vallecano","Girona","2,25","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","William Hill","Girona","Rayo Vallecano","Rayo Vallecano","3,1","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","William Hill","Girona","Rayo Vallecano","Draw","3,2","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","1xBet","Girona","Rayo Vallecano","Girona","2,35","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","1xBet","Girona","Rayo Vallecano","Rayo Vallecano","3,4","2025-08-10T19:39:10.256403"
"La Liga - Spain","2025-08-15T17:00:00Z","h2h","1xBet","Girona","Rayo Vallecano","Draw","3,4","2025-08-10T19:39:10.256403"
